"id","name","alias","small_description","menu_image","category_thumb","category_image","parent_id","seo_title","seo_keywords","seo_description","status","order","sale_start_date","sale_end_date","sale_percentage","sale_status","cdate","banner_id"
"11","Horizontal",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1457679307-horizontal.jpg","thumbnails_ver_2-final-06.jpg","1940611666-horizontal.jpg","1","Natzura Woods Horizontal Veneer","Horizontal","Natzura Woods Horizontal Veneer - Get Natzura woods Horizontal veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","6","0000-00-00","0000-00-00",,"0","2017-07-07 07:18:50","1"
"12","Mystique",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1561124538-mystique.jpg","thumbnails_ver_2-final-02.jpg","664795835-mystique.jpg","1","Natzura Woods Mystique Veneer ","Mystique","Natzura Woods Mystique Veneer - Get Natzura woods mystique veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","2","0000-00-00","0000-00-00",,"0","2017-07-07 07:19:46","1"
"13","Dyed",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1990533938-dyed.jpg","thumbnails_ver_2-final-12.jpg","1501339488-dyed.jpg","1","Natzura Woods Dyed Veneer","Dyed","Natzura Woods Dyed Veneer - Get Natzura woods dyed veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","12","0000-00-00","0000-00-00",,"0","2017-07-07 07:20:04","1"
"14","A la Carte",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","2031656358-ala-carte.jpg","thumbnails_ver_2-final-13.jpg","945128235-a-la-carte.jpg","1","Natzura Woods A La Carte Veneer","A la Carte","Natzura Woods A La Carte Veneer - Get Natzura woods A La Carte veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","13","0000-00-00","0000-00-00",,"0","2017-07-07 07:20:34",
"15","New Arrival",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1206858007-new-arrival.jpg","thumbnails-ver-2-final-16.jpg
","970200863-new_arrival.jpg","1","Natzura Woods New Arrival Veneer","New Arrival","Natzura Woods New Arrival Veneer - Get Natzura woods New Arrival veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","17","0000-00-00","0000-00-00",,"0","2017-07-07 07:20:56","1"
"16","Checkered Illusion",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"753385958-checkered_illusion.jpg","342957596-checkered_illusion.jpg","14","Checkered Illusion","Checkered Illusion","Checkered Illusion","1","1","0000-00-00","0000-00-00",,"0","2017-07-07 07:23:11","1"
"17","Burl Block",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"815310223-burl_block.jpg","1490207746-burl_block.jpg","14","Burl Block","Burl Block","Burl Block","1","2","0000-00-00","0000-00-00",,"0","2017-07-07 07:24:01","1"
"18","Diagonal",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"1069331920-diagonal.jpg","346224924-diagonal.jpg","14","Diagonal","Diagonal","Diagonal","1","3","0000-00-00","0000-00-00",,"0","2017-07-07 07:24:33","1"
"19","Brico",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"1730092665-brico.jpg","1736638114-brico.jpg","14","Brico","Brico","Brico","0","4","0000-00-00","0000-00-00",,"0","2017-07-07 07:25:12","1"
"20","Evoluzion",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"1674884432-evoluzion.jpg","815390378-evoluzion.jpg","14","Evoluzion","Evoluzion","Evoluzion","1","4","0000-00-00","0000-00-00",,"0","2017-07-07 07:26:02","1"
"21","Revoluzion",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"267320521-revoluzion.jpg","1156752688-revoluzion.jpg","14","Revoluzion","Revoluzion","Revoluzion","1","5","0000-00-00","0000-00-00",,"0","2017-07-07 07:26:28","1"
"22","Ruvido",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"207606955-ruvido.jpg","71088932-ruvido.jpg","14","Ruvido","Ruvido","Ruvido","0","7","0000-00-00","0000-00-00",,"0","2017-07-07 07:26:55","1"
"23","Butt Cut",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"467054802-butt_cut.jpg","1449675723-butt_cut.jpg","14","Butt Cut","Butt Cut","Butt Cut","2","6","0000-00-00","0000-00-00",,"0","2017-07-07 07:27:21","1"
"24","Interweave",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"971279707-interweave.jpg","2066564786-interweave.jpg","14","Interweave","Interweave","Interweave","0","9","0000-00-00","0000-00-00",,"0","2017-07-07 07:27:48","1"
"25","Urbane",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","162752783-urbane.jpg","1786214275-urbane.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Urbane","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","1","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"26","Bohemian",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","533977488-bohemain.jpg","496511483-bohemian.jpg","1975519228-bohemian.jpg","2","Senzura Styles Bohemian Veneer","Bohemian","Senzura Styles Bohemian Veneer - Get Senzura Styles bohemian veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","2","0000-00-00","0000-00-00",,"0","2017-07-07 07:29:08","1"
"27","Understated",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1162954286-understated.jpg","926527365-understated.jpg","239338991-understated.jpg","2","Senzura Styles Understated Veneer","Understated","Senzura Styles Understated Veneer - Get Senzura Styles Understated veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","3","0000-00-00","0000-00-00",,"0","2017-07-07 07:29:29","1"
"28","Earthy",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1599949541-earthy.jpg","841464357-earthy.jpg","1388757317-earthy.jpg","2","Senzura Styles Earthy Veneer ","Earthy","Natzura Woods Earthy Veneer - Get Natzura woods earthy veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","4","0000-00-00","0000-00-00",,"0","2017-07-07 07:29:59","1"
"29","Sophisticated",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1914956567-sophisticated.jpg","819003199-sophisticated.jpg","1361440648-sophisticated.jpg","2","Senzura Styles Sophisticated Veneer","Sophisticated","Senzura Styles Sophisticated Veneer - Get Senzura Styles Sophisticated veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","5","0000-00-00","0000-00-00",,"0","2017-07-07 07:30:30","1"
"30","Bold",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1383227870-bold.jpg","1381149258-bold.jpg","1662434749-bold.jpg","2","Senzura Styles Bold Veneer","Bold","Senzura Styles Bold Veneer - Get Senzura Styles bold veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","6","0000-00-00","0000-00-00",,"0","2017-07-07 07:30:52","1"
"31","Made to Measure",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","643879829-made-tot-measure.jpg","1199557616-made_measure.jpg","1928313726-made_measure.jpg","2","Senzura Styles Made to Measure Veneer","Made to Measure","Senzura Styles Made to Measure Veneer - Get Senzura Styles made to measure veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","7","0000-00-00","0000-00-00",,"0","2017-07-07 07:31:22","1"
"32","New Arrival",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","47949779-new-arrival.jpg","1992069708-new_arrival.jpg","2114802180-new_arrival.jpg","2","New Arrival","New Arrival","New Arrival","0","8","0000-00-00","0000-00-00",,"0","2017-07-07 07:31:55","1"
"33","Exclusive Collection",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","2109803785-new_arrival.jpg","105191005-new_arrival.jpg","131551671-new_arrival.jpg","2","Exclusive Collection","Exclusive Collection","Exclusive Collection","0","0","0000-00-00","0000-00-00",,"0","2018-03-09 13:01:08","1"
"34","Teak",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>",,"1006847745-teak.jpg","1072925753-teak.jpg","2","Teak Ply Veneer | Senzura Styles Veneer | Century Veneers"," teak veneer","Century Veneers offers premium Quality Teak Ply Veneer products to get perfect premium finish and look of teak gloss. Browse our range of teak ply veneer sheets.","2","7","0000-00-00","0000-00-00",,"0","2019-02-15 10:39:32","1"
"35","Progettowood",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","970200863-new_arrival.jpg",,NULL,"0","ProgettoWood | Premium Range of Venners - Century Veneers","Progettowood","ProgettoWood is a premium range of exclusive hi-end veneer with exotic grain designs from Century Veneers. ProgettoWood comes pre-coated with a layer of epoxy sealer.","1","0","2019-07-08","2019-07-08",,"1","2019-07-08 00:00:00",
"36","Dark forest",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","970200863-new_arrival.jpg",,,"0","Dark Forest | Exclusive Range of Smoked Natural Veneer - Century Veneers","Dark forest","Century Ply's Dark Forest range of veneer is a unique amalgamation of mother nature's offering and human creativity.","1","0","2019-07-08","2019-07-08",,"1","2019-07-08 00:00:00",
"37","Metallic",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1206858007-new-arrival.jpg","thumbnails-ver_2-final-01.jpg","970200863-new_arrival.jpg","1","Natzura Woods Metallic Veneer","Metallic","Natzura Woods Metallic Veneer - Get Natzura woods metallic veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","1","2020-09-24","2020-09-24",,"1","2017-07-07 07:20:56","1"
"38","Dark forest",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","970200863-new_arrival.jpg",,,"36","Dark forest","Dark forest","Dark forest","0","0","2019-07-08","2019-07-08",,"1","2019-07-08 00:00:00",
"39","Arizona",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1206858007-new-arrival.jpg","thumbnails_ver_2-final-14.jpg","970200863-new_arrival.jpg","1","Natzura Woods Arizona Veneer","Arizona","Natzura Woods Arizona Veneer - Get Natzura woods Arizona veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","15","2020-09-24","2020-09-24",,"1","2017-07-07 07:20:56","1"
"40","Trendz",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1206858007-new-arrival.jpg","1483229760-new_arrival.jpg","970200863-new_arrival.jpg","1","Trendz","Trendz","Natzura Woods Trendz Veneer - Get Natzura woods Trendz veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","0","14","2020-09-24","2020-09-24",,"1","2017-07-07 07:20:56","1"
"41","Crotch",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1206858007-new-arrival.jpg","thumbnails_ver_2-final-15.jpg","970200863-new_arrival.jpg","1","Natzura Woods Crotch Veneer","Crotch","Natzura Woods Crotch Veneer - Get Natzura woods Crotch veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","16","2020-09-24","2020-09-24",,"1","2017-07-07 07:20:56","1"
"42","Progettowood",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","970200863-new_arrival.jpg",,NULL,"35","ProgettoWood | Premium Range of Venners - Century Veneers","Progettowood","ProgettoWood is a premium range of exclusive hi-end veneer with exotic grain designs from Century Veneers. ProgettoWood comes pre-coated with a layer of epoxy sealer.","1","0","2019-07-08","2019-07-08",,"1","2019-07-08 00:00:00",
"43","Dark forest",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","970200863-new_arrival.jpg",,,"36","Dark forest","Dark forest","Dark forest","1","0","2019-07-08","2019-07-08",,"1","2019-07-08 00:00:00",
"44","Trendz",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"467054802-butt_cut.jpg","1449675723-butt_cut.jpg","14","Trendz","Trendz","Trendz","1","6","0000-00-00","0000-00-00",,"0","2017-07-07 07:27:21","1"
"45","Teak Series",,,"162752783-urbane.jpg","Teak.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Teak","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","2","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"55","10x4ft Series",,NULL,"162752783-urbane.jpg","Horizontal.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Horizontal","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","9","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"46","Dark Series",,NULL,"162752783-urbane.jpg","Dark.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Dark","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","4","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"47","Medium Series",,NULL,"162752783-urbane.jpg","Medium.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Medium","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","3","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"48","Light Series",,NULL,"162752783-urbane.jpg","Light.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Light","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","5","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"49","Grey Series",,NULL,"162752783-urbane.jpg","Grey.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Grey","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","1","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"50","Abstract Series",,NULL,"162752783-urbane.jpg","Abstract.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Abstract","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","7","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"51","Dyed Series",,NULL,"162752783-urbane.jpg","Dyed.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Dyed","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","7","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"52","Horizontal Series",,NULL,"162752783-urbane.jpg","Horizontal.jpg","1243941614-urbane.jpg","2","Senzura Styles Urbane Veneer","Horizontal","Senzura Styles Urbane Veneer - Get Senzura Styles urbane veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","8","0000-00-00","0000-00-00",,"0","2017-07-07 07:28:51","1"
"53","Tweed",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"467054802-butt_cut.jpg","1449675723-butt_cut.jpg","14","Tweed","Tweed","Tweed","1","6","0000-00-00","0000-00-00",,"0","2017-07-07 07:27:21","1"
